/sports/football,0.836215,American football,0.976797,American football positions,0.727939,Chicago,0.574702,Democratic Party,0.572055,Linebacker,0.505901
/technology and computing/consumer electronics/game systems and consoles/nintendo,1.0,App Store,0.979106,IPhone,0.659533,Game,0.632157,Google Voice,0.588255,Wii,0.574017
/sports/soccer,0.918618,Chelsea F.C.,0.97321,Reverse,0.79065,Stamford Bridge,0.743233,"Chelsea, London",0.666862,FA Cup,0.604705
/finance/investing/day trading,0.902581,European Union,0.953565,Euronext,0.71228,European Commission,0.658064,Brussels,0.623434,United Kingdom,0.600616
/technology and computing/tech news,0.681602,Personal name,0.970732,Research and development,0.712712,Middle name,0.688058,Chinese name,0.676459,Artificial intelligence,0.670059
/shopping,0.983384,Prediction,0.943359,Future,0.896237,Need,0.813789,Scientific method,0.764027,Want,0.736066
"/law, govt and politics/politics/elections/presidential elections",0.991173,George W. Bush,0.950489,John McCain,0.690732,Donald Trump,0.636111,President of the United States,0.636101,Democratic Party,0.602528
"/law, govt and politics",0.85398,Federal government of the United States,0.967262,U.S. state,0.827333,Left-handedness,0.687637,President of the United States,0.670261,"Washington, D.C.",0.584182
/automotive and vehicles/electric vehicles,0.853395,Elon Musk,0.94424,Project,0.504559,Kimbal Musk,0.500867,Physician,0.47371,Project management,0.471851
"/law, govt and politics",0.859921,In open court,0.919747,Member of Parliament,0.874328,Police,0.865288
/education/high school,0.838885,High school,0.989027,Alief Taylor High School,0.612155,Alief Elsik High School,0.608045,Alief Independent School District,0.599642,Alief Kerr High School,0.559448
/shopping/auctions,0.999877,Basketball,0.958088,James Naismith,0.946969,Auction,0.83727,"Springfield, Massachusetts",0.741407,United States,0.702081
/news/national news,0.993359,The Sun,0.975816,News of the World,0.87443,Rupert Murdoch,0.855444,Newspaper,0.842227,The Times,0.833212
/society/unrest and war,0.80145,United Nations,0.981558,Nuclear weapon,0.808506,United Nations Charter,0.758793,Cold War,0.644967,International Court of Justice,0.611546
/technology and computing/computer security/network security,0.856917,Authentication,0.981874,Password,0.965581,Security token,0.836419,Computer security,0.750851,Online banking,0.717691
/business and industrial/advertising and marketing/advertising,0.755265,English-language films,0.975612,Google,0.817142,Viacom,0.715657,YouTube,0.62952,IPhone,0.608268
/education/special education,0.999432,Immigration to the United States,0.912174,Illegal immigration,0.856636,Education,0.829498,School,0.787647,History of education,0.783209
/business and industrial/company/earnings,0.841535,Southern United States,0.908411,North Carolina,0.790268,Thomas Jefferson,0.763592,Georgia,0.746117,Tennessee,0.729814
/technology and computing/hardware/computer components/sound cards,0.843057,Google,0.971432,YouTube,0.863596,Sound,0.759981,Hearing impairment,0.729744,Hearing,0.720558
"/law, govt and politics",0.730583,Donald Trump,0.92115,Gerald Ford,0.876372,WrestleMania 23,0.795879,WrestleMania,0.777393,Ivana Trump,0.771705
/travel/business travel,0.898111,Chief executives,0.979294,Chief executive officer,0.937309,Executive officer,0.922792,Management occupations,0.903864,President of the United States,0.852717
/business and industrial/energy/natural gas,0.999996,Technology,0.982774,Natural gas,0.7722,Natural environment,0.747027,Natural gas field,0.715715,Nature,0.701782
/family and parenting/children,0.653173,Spelling bee,0.95408,Spelling,0.7308,Supreme Court of the United States,0.54054,Alternative education,0.529484,Supreme court,0.492406
/family and parenting/children,0.635882,Jeff Bezos,0.98451,Apollo 11,0.602208,NASA,0.592608,Mars,0.577877
/science/physics/electromagnetism,0.736967,Higgs boson,0.9867,Guess with Jess,0.93539,Standard Model,0.923607,Particle physics,0.920972,Boson,0.894073
/technology and computing/internet technology/social network,0.999973,Computer program,0.907974,Algorithm,0.893479
