"/law, govt and politics/politics/elections/presidential elections",0.932228,Minnesota,0.972843,Democratic Party,0.806041,"United States presidential election, 2008",0.742558,Republican Party,0.725425,Barbara Boxer,0.718857
/education/special education,0.972471,Education,0.970348,The Sun,0.965072,Newspaper,0.963946,"San Bernardino County, California",0.902102
/art and entertainment/movies and tv/movies/reviews,0.744281,Academy Award for Best Actress,0.978157,Emma Thompson,0.735899,Academy Award for Best Supporting Actress,0.695041,2008 in film,0.574518,Academy Award for Best Picture,0.544612
"/law, govt and politics/politics/elections/presidential elections",0.717588
/finance/financial news,0.753934,Fox News Channel,0.968563,Federal Bureau of Investigation,0.892262,Roger Ailes,0.87093,News Corporation,0.836365,United States Department of Justice,0.833746
/science/computer science/artificial intelligence,0.939132,Artificial island,0.889645,Board game,0.888071,Game,0.852001,World,0.7831,Victory,0.76208
/society/dating,0.664904,Google Maps,0.988794,Central Park,0.753536,Google Earth,0.72844,Urban park,0.718873,New York City,0.680397
/business and industrial/aerospace and defense/space technology,0.998796,NASA,0.987939,Rocket,0.860185,Internal combustion engine,0.78768,Exploration of Mars,0.69961,Space exploration,0.696947
/technology and computing/internet technology,0.987958,United States Senate,0.964828,Barack Obama,0.769577,Republican Party,0.730922,Democratic Party,0.659375,President of the United States,0.645336
/sports/soccer,0.748223,Brazil,0.955502,FIFA World Cup,0.713762,Clube de Regatas do Flamengo,0.686219,Bruno Fernandes de Souza,0.601497,Association football,0.580338
/technology and computing/internet technology,0.747063,Fruit,0.940244,Empa,0.88803,Laboratories,0.795432,Technology,0.702331,Ethylene,0.638599
/education,0.904691,Education,0.96766,The Nation,0.54558,Tax,0.5355,School,0.535036,Dick DeVos,0.530422
/automotive and vehicles/vehicle brands/toyota,1.0,Operating system,0.943024,Science fiction,0.7273,Robotics,0.692008,General Motors,0.652814,Lexus,0.625166
/technology and computing/consumer electronics/game systems and consoles/nintendo,0.999974,Video game console,0.966428,Remote control,0.836556,Game,0.700921,Play,0.598692,Game controller,0.592447
/technology and computing/operating systems,0.999841,Operating system,0.948641,Macintosh,0.5741,Apple Inc.,0.555025,Microsoft Windows,0.551789,Microsoft,0.547457
